exchange,symbol,market_type,timestamp,open,high,low,close,volume,quote_volume
bitbank,btc_jpy,spot,2026-08-17T15:00:00+00:00,10169635,10239999,10168475,10230454,6.7586,
bitbank,btc_jpy,spot,2026-08-17T16:00:00+00:00,10230455,10230455,10210833,10216207,1.1877,
bitbank,btc_jpy,spot,2026-08-17T17:00:00+00:00,10216206,10260000,10200900,10251999,5.1285,
bitbank,btc_jpy,spot,2026-08-17T18:00:00+00:00,10252000,10295000,10251782,10278277,1.4915,
bitbank,btc_jpy,spot,2026-08-17T19:00:00+00:00,10278277,10278277,10251203,10251203,0.7843,
bitbank,btc_jpy,spot,2026-08-17T20:00:00+00:00,10253091,10265050,10245085,10263071,2.1321,
bitbank,btc_jpy,spot,2026-08-17T21:00:00+00:00,10263071,10266867,10254344,10259726,2.2317,
bitbank,btc_jpy,spot,2026-08-17T22:00:00+00:00,10259726,10264272,10243237,10244664,4.6031,
bitbank,btc_jpy,spot,2026-08-17T23:00:00+00:00,10245571,10278279,10245570,10278279,4.4240,
bitbank,btc_jpy,spot,2026-08-18T00:00:00+00:00,10278279,10279898,10264728,10264728,4.5736,
bitbank,btc_jpy,spot,2026-08-18T01:00:00+00:00,10264729,10264729,10230785,10232200,6.8212,
bitbank,btc_jpy,spot,2026-08-18T02:00:00+00:00,10232200,10245199,10215505,10215505,3.9309,
bitbank,btc_jpy,spot,2026-08-18T03:00:00+00:00,10217033,10236317,10217033,10236317,5.2924,
bitbank,btc_jpy,spot,2026-08-18T04:00:00+00:00,10236318,10299424,10229636,10259105,13.7485,
bitbank,btc_jpy,spot,2026-08-18T05:00:00+00:00,10259105,10300000,10249798,10254354,6.0108,
bitbank,btc_jpy,spot,2026-08-18T06:00:00+00:00,10257353,10297672,10254000,10274478,2.7070,
bitbank,btc_jpy,spot,2026-08-18T07:00:00+00:00,10275668,10275669,10252049,10252049,0.5390,
bitbank,btc_jpy,spot,2026-08-18T08:00:00+00:00,10254684,10266771,10240092,10261835,1.2397,
bitbank,btc_jpy,spot,2026-08-18T09:00:00+00:00,10264420,10264420,10240000,10243648,1.3135,
bitbank,btc_jpy,spot,2026-08-18T10:00:00+00:00,10243641,10247756,10237190,10247756,2.2602,
bitbank,btc_jpy,spot,2026-08-18T11:00:00+00:00,10247756,10278524,10247756,10275667,1.0086,
bitbank,btc_jpy,spot,2026-08-18T12:00:00+00:00,10275667,10275667,10256119,10256119,0.4528,
bitbank,btc_jpy,spot,2026-08-18T13:00:00+00:00,10256120,10256120,10226808,10246328,2.1010,
bitbank,btc_jpy,spot,2026-08-18T14:00:00+00:00,10246870,10366213,10246870,10321994,10.3816,
bitbank,btc_jpy,spot,2026-08-18T15:00:00+00:00,10326468,10349129,10319236,10348147,2.4480,
bitbank,btc_jpy,spot,2026-08-18T16:00:00+00:00,10348149,10350102,10329817,10342395,1.7163,
bitbank,btc_jpy,spot,2026-08-18T17:00:00+00:00,10342394,10342394,10322842,10322842,1.1663,
bitbank,btc_jpy,spot,2026-08-18T18:00:00+00:00,10322843,10339663,10322842,10338418,0.1099,
bitbank,btc_jpy,spot,2026-08-18T19:00:00+00:00,10338418,10338418,10325436,10325436,0.0641,
bitbank,btc_jpy,spot,2026-08-18T20:00:00+00:00,10321104,10321104,10307418,10307883,0.9002,
bitbank,btc_jpy,spot,2026-08-18T21:00:00+00:00,10307882,10314765,10305002,10312925,5.2993,
bitbank,btc_jpy,spot,2026-08-18T22:00:00+00:00,10312924,10312925,10303634,10312491,0.7439,
bitbank,btc_jpy,spot,2026-08-18T23:00:00+00:00,10312490,10334411,10312284,10330037,1.9917,
bitbank,btc_jpy,spot,2026-08-19T00:00:00+00:00,10330037,10330037,10286262,10291002,2.7693,
bitbank,btc_jpy,spot,2026-08-19T01:00:00+00:00,10287344,10292537,10275137,10275138,9.8768,
bitbank,btc_jpy,spot,2026-08-19T02:00:00+00:00,10275138,10290699,10266277,10267468,14.3535,
bitbank,btc_jpy,spot,2026-08-19T03:00:00+00:00,10267469,10310925,10261111,10271914,3.5566,
bitbank,btc_jpy,spot,2026-08-19T04:00:00+00:00,10271914,10312000,10261967,10264694,5.5948,
bitbank,btc_jpy,spot,2026-08-19T05:00:00+00:00,10264694,10273000,10251796,10251796,1.7381,
bitbank,btc_jpy,spot,2026-08-19T06:00:00+00:00,10251370,10251555,10234089,10251555,1.4424,
bitbank,btc_jpy,spot,2026-08-19T07:00:00+00:00,10252999,10260514,10242607,10247242,2.5514,
bitbank,btc_jpy,spot,2026-08-19T08:00:00+00:00,10247242,10264083,10235073,10258478,1.5221,
bitbank,btc_jpy,spot,2026-08-19T09:00:00+00:00,10258479,10275555,10258479,10258643,0.8159,
bitbank,btc_jpy,spot,2026-08-19T10:00:00+00:00,10258643,10259145,10246253,10259145,0.8426,
bitbank,btc_jpy,spot,2026-08-19T11:00:00+00:00,10259772,10272559,10259772,10271833,1.0297,
bitbank,btc_jpy,spot,2026-08-19T12:00:00+00:00,10271616,10299412,10251401,10290873,6.9218,
bitbank,btc_jpy,spot,2026-08-19T13:00:00+00:00,10290873,10330000,10272941,10300001,5.7201,
bitbank,btc_jpy,spot,2026-08-19T14:00:00+00:00,10300001,10438000,10300001,10438000,11.9414,
bitbank,btc_jpy,spot,2026-08-19T15:00:00+00:00,10438000,10970000,10431439,10848712,102.2224,
bitbank,btc_jpy,spot,2026-08-19T16:00:00+00:00,10848463,10902013,10827459,10830750,14.0585,
bitbank,btc_jpy,spot,2026-08-19T17:00:00+00:00,10835517,10836264,10734235,10798668,8.0470,
bitbank,btc_jpy,spot,2026-08-19T18:00:00+00:00,10799830,10816438,10764438,10810438,4.8750,
bitbank,btc_jpy,spot,2026-08-19T19:00:00+00:00,10812233,10820728,10761955,10805042,2.7026,
bitbank,btc_jpy,spot,2026-08-19T20:00:00+00:00,10808223,10999999,10796115,10910555,8.9142,
bitbank,btc_jpy,spot,2026-08-19T21:00:00+00:00,10909851,11058550,10898029,11009183,24.6351,
bitbank,btc_jpy,spot,2026-08-19T22:00:00+00:00,11010520,11025945,10883193,10936343,8.3566,
bitbank,btc_jpy,spot,2026-08-19T23:00:00+00:00,10932045,10961199,10925791,10949999,12.0221,
